abandoned,weaksubj,negative,abandonado 
abandoned,weaksubj,negative,abandonada
abandonment,weaksubj,negative,abandono 
abandon,weaksubj,negative,abandonar 
abase,strongsubj,negative,rebajar
abasement,strongsubj,negative,humillacion 
abash,strongsubj,negative,humillar
abate,weaksubj,negative,suprimir
abdicate,weaksubj,negative,abdicar 
aberration,strongsubj,negative,aberracion 
abhor,strongsubj,negative,aborrecer
abhorred,strongsubj,negative,aborrecido 
,strongsubj,negative,aborrecida
abhorrence,strongsubj,negative,aborrecimiento 
abhorrent,strongsubj,negative,aborrecible 
abhorrently,strongsubj,negative,abominablemente 
abhors,strongsubj,negative,aborrece 
abidance,strongsubj,positive,acatamiento 
abide,strongsubj,positive,cumplir 
abject,strongsubj,negative,abyecta 
abjectly,strongsubj,negative,abyectamente 
abjure,weaksubj,negative,abjurar 
abilities,weaksubj,positive,habilidades 
abilities,weaksubj,positive,capacidades
,weaksubj,positive,habilidad
ability,weaksubj,positive,capacidad 
able,weaksubj,positive,capaces 
abnormal,weaksubj,negative,anormal 
abolish,weaksubj,negative,abolir 
abominable,strongsubj,negative,abominable 
abominably,strongsubj,negative,abominablemente 
abominate,strongsubj,negative,abominar
abomination,strongsubj,negative,abominacion 
above,weaksubj,positive,anteriormente
aboveaverage,weaksubj,positive,destacado
,weaksubj,positive,destacada
abound,weaksubj,positive,abundar
abrade,weaksubj,negative,desgastar
abrasive,strongsubj,negative,abrasivo 
abrupt,weaksubj,negative,abrupta 
,weaksubj,negative,abrupto
abscond,strongsubj,negative,fugarse 
absence,weaksubj,negative,ausencia 
absentee,weaksubj,negative,ausente 
absentminded,strongsubj,negative,distraido
,strongsubj,negative,distraida
absolve,strongsubj,positive,absolvera 
absurd,strongsubj,negative,absurdo 
absurdity,strongsubj,negative,disparate
absurdly,strongsubj,negative,absurdamente 
absurdness,strongsubj,negative,ridiculo
,strongsubj,negative,ridicula
abundant,weaksubj,positive,abundante 
abundance,weaksubj,positive,abundancia 
abuse,weaksubj,negative,abuso 
abuse,strongsubj,negative,insulto
abuses,weaksubj,negative,abusos 
abusive,strongsubj,negative,abusiva 
,strongsubj,negative,abusivo
abysmal,strongsubj,negative,abismal 
abysmally,strongsubj,negative,abismalmente 
abyss,strongsubj,negative,abismo 
accede,strongsubj,positive,adherirse 
accept,weaksubj,positive,aceptar 
acceptance,weaksubj,positive,aceptacipn 
acceptable,weaksubj,positive,aceptable 
accessible,weaksubj,positive,accesible 
accidental,weaksubj,negative,accidental 
acclaim,strongsubj,positive,aclamar
acclaimed,strongsubj,positive,aclamado 
,strongsubj,positive,aclamada
acclamation,strongsubj,positive,aclamacion 
accolade,strongsubj,positive,galardon 
,strongsubj,positive,galardones
accolades,strongsubj,positive,reconocimientos 
accommodative,weaksubj,positive,acomodaticia 
accomplish,weaksubj,positive,lograr 
accomplishment,weaksubj,positive,logro 
accomplishments,weaksubj,positive,logros 
accord,weaksubj,positive,acuerdo 
accordance,weaksubj,positive,conformidad 
accordantly,weaksubj,positive,concordante
accost,weaksubj,negative,acosar
accountable,weaksubj,negative,accountability
accurate,weaksubj,positive,precisa 
,weaksubj,positive,preciso
accurately,weaksubj,positive,exactamente
accursed,strongsubj,negative,maldito 
accusation,strongsubj,negative,acusacion 
accusations,strongsubj,negative,acusaciones 
accuse,strongsubj,negative,acusar 
accuses,strongsubj,negative,acusa 
accusing,strongsubj,negative,acusando 
